"Orthogroup" "dup_1" "dup_2" "duplicate_pair_species"
"37" "OG0000937" "FBgn0141111" "FBgn0280911" "Drosophila_mojavensis_prot"
"38" "OG0000938" "FBgn0088176" "FBgn0089680" "Drosophila_ananassae_prot"
"39" "OG0000939" "FBgn0088186" "FBgn0099777" "Drosophila_ananassae_prot"
"40" "OG0000940" "FBgn0088211" "FBgn0088212" "Drosophila_ananassae_prot"
"41" "OG0000941" "FBgn0033836" "FBgn0260475" "Drosophila_melanogaster_prot"
"42" "OG0000942" "FBgn0088257" "FBgn0094670" "Drosophila_ananassae_prot"
"43" "OG0000943" "FBgn0029717" "FBgn0034099" "Drosophila_melanogaster_prot"
"44" "OG0000944" "FBgn0088348" "FBgn0088349" "Drosophila_ananassae_prot"
"45" "OG0000946" "FBgn0088415" "FBgn0097524" "Drosophila_ananassae_prot"
"46" "OG0000947" "FBgn0088444" "FBgn0089732" "Drosophila_ananassae_prot"
"47" "OG0000948" "FBgn0143892" "FBgn0280542" "Drosophila_mojavensis_prot"
"48" "OG0000949" "FBgn0088475" "FBgn0100911" "Drosophila_ananassae_prot"
"49" "OG0000950" "FBgn0141342" "FBgn0144277" "Drosophila_mojavensis_prot"
"50" "OG0000951" "FBgn0143167" "FBgn0143168" "Drosophila_mojavensis_prot"
"51" "OG0000952" "FBgn0088536" "FBgn0088547" "Drosophila_ananassae_prot"
"52" "OG0000953" "FBgn0141251" "FBgn0143849" "Drosophila_mojavensis_prot"
"53" "OG0000954" "FBgn0051352" "FBgn0260463" "Drosophila_melanogaster_prot"
"54" "OG0000955" "FBgn0136980" "FBgn0143593" "Drosophila_mojavensis_prot"
"55" "OG0000956" "FBgn0034661" "FBgn0042098" "Drosophila_melanogaster_prot"
"56" "OG0000957" "FBgn0037731" "FBgn0052939" "Drosophila_melanogaster_prot"
"57" "OG0000958" "FBgn0137337" "FBgn0141858" "Drosophila_mojavensis_prot"
"58" "OG0000959" "FBgn0147386" "FBgn0281816" "Drosophila_mojavensis_prot"
"59" "OG0000960" "FBgn0136289" "FBgn0141570" "Drosophila_mojavensis_prot"
"60" "OG0000961" "FBgn0142268" "FBgn0142269" "Drosophila_mojavensis_prot"
"61" "OG0000962" "FBgn0088858" "FBgn0095970" "Drosophila_ananassae_prot"
"62" "OG0000963" "FBgn0088935" "FBgn0088936" "Drosophila_ananassae_prot"
"63" "OG0000964" "FBgn0088984" "FBgn0275052" "Drosophila_ananassae_prot"
"64" "OG0000965" "FBgn0089023" "FBgn0094730" "Drosophila_ananassae_prot"
"65" "OG0000966" "FBgn0033788" "FBgn0033789" "Drosophila_melanogaster_prot"
"66" "OG0000967" "FBgn0033906" "FBgn0039371" "Drosophila_melanogaster_prot"
"67" "OG0000968" "FBgn0050391" "FBgn0050393" "Drosophila_melanogaster_prot"
"68" "OG0000969" "FBgn0089162" "FBgn0094006" "Drosophila_ananassae_prot"
"69" "OG0000970" "FBgn0089234" "FBgn0089235" "Drosophila_ananassae_prot"
"70" "OG0000971" "FBgn0261394" "FBgn0261395" "Drosophila_melanogaster_prot"
"71" "OG0000972" "FBgn0138602" "FBgn0141673" "Drosophila_mojavensis_prot"
"72" "OG0000973" "FBgn0142793" "FBgn0280257" "Drosophila_mojavensis_prot"
"73" "OG0000974" "FBgn0143668" "FBgn0143669" "Drosophila_mojavensis_prot"
"74" "OG0000975" "FBgn0089352" "FBgn0089353" "Drosophila_ananassae_prot"
"75" "OG0000976" "FBgn0142356" "FBgn0142359" "Drosophila_mojavensis_prot"
"76" "OG0000977" "FBgn0141780" "FBgn0141781" "Drosophila_mojavensis_prot"
"77" "OG0000979" "FBgn0089411" "FBgn0089412" "Drosophila_ananassae_prot"
"78" "OG0000980" "FBgn0142604" "FBgn0142606" "Drosophila_mojavensis_prot"
"79" "OG0000981" "FBgn0138432" "FBgn0142612" "Drosophila_mojavensis_prot"
"80" "OG0000982" "FBgn0089536" "FBgn0101058" "Drosophila_ananassae_prot"
"81" "OG0000983" "FBgn0089429" "FBgn0089592" "Drosophila_ananassae_prot"
"82" "OG0000984" "FBgn0033875" "FBgn0034443" "Drosophila_melanogaster_prot"
"83" "OG0000985" "FBgn0089663" "FBgn0096543" "Drosophila_ananassae_prot"
"84" "OG0000986" "FBgn0137624" "FBgn0141394" "Drosophila_mojavensis_prot"
"85" "OG0000987" "FBgn0034523" "FBgn0051658" "Drosophila_melanogaster_prot"
"86" "OG0000988" "FBgn0141811" "FBgn0280994" "Drosophila_mojavensis_prot"
"87" "OG0000989" "FBgn0134045" "FBgn0141820" "Drosophila_mojavensis_prot"
"88" "OG0000990" "FBgn0141804" "FBgn0143229" "Drosophila_mojavensis_prot"
"89" "OG0000991" "FBgn0138136" "FBgn0141580" "Drosophila_mojavensis_prot"
"90" "OG0000992" "FBgn0141982" "FBgn0143434" "Drosophila_mojavensis_prot"
"91" "OG0000993" "FBgn0143190" "FBgn0144091" "Drosophila_mojavensis_prot"
"92" "OG0000994" "FBgn0142046" "FBgn0281300" "Drosophila_mojavensis_prot"
"93" "OG0000995" "FBgn0089956" "FBgn0089957" "Drosophila_ananassae_prot"
"94" "OG0000996" "FBgn0090121" "FBgn0095972" "Drosophila_ananassae_prot"
"95" "OG0000997" "FBgn0090175" "FBgn0091788" "Drosophila_ananassae_prot"
"96" "OG0000998" "FBgn0090193" "FBgn0090194" "Drosophila_ananassae_prot"
"97" "OG0000999" "FBgn0034470" "FBgn0043532" "Drosophila_melanogaster_prot"
"98" "OG0001001" "FBgn0034291" "FBgn0034292" "Drosophila_melanogaster_prot"
"99" "OG0001002" "FBgn0090305" "FBgn0274484" "Drosophila_ananassae_prot"
"100" "OG0001003" "FBgn0090369" "FBgn0274587" "Drosophila_ananassae_prot"
"101" "OG0001004" "FBgn0035070" "FBgn0052269" "Drosophila_melanogaster_prot"
"102" "OG0001005" "FBgn0090422" "FBgn0274162" "Drosophila_ananassae_prot"
"103" "OG0001006" "FBgn0090503" "FBgn0097523" "Drosophila_ananassae_prot"
"104" "OG0001007" "FBgn0028552" "FBgn0266721" "Drosophila_melanogaster_prot"
"105" "OG0001008" "FBgn0090523" "FBgn0097648" "Drosophila_ananassae_prot"
"106" "OG0001009" "FBgn0137295" "FBgn0142754" "Drosophila_mojavensis_prot"
"107" "OG0001010" "FBgn0137296" "FBgn0142755" "Drosophila_mojavensis_prot"
"108" "OG0001011" "FBgn0090602" "FBgn0100843" "Drosophila_ananassae_prot"
"109" "OG0001012" "FBgn0033229" "FBgn0042173" "Drosophila_melanogaster_prot"
"110" "OG0001013" "FBgn0090670" "FBgn0093850" "Drosophila_ananassae_prot"
"111" "OG0001014" "FBgn0013307" "FBgn0013308" "Drosophila_melanogaster_prot"
"112" "OG0001015" "FBgn0090700" "FBgn0094325" "Drosophila_ananassae_prot"
"113" "OG0001016" "FBgn0141070" "FBgn0143907" "Drosophila_mojavensis_prot"
"114" "OG0001017" "FBgn0090727" "FBgn0274441" "Drosophila_ananassae_prot"
"115" "OG0001018" "FBgn0137635" "FBgn0141075" "Drosophila_mojavensis_prot"
"116" "OG0001019" "FBgn0090751" "FBgn0100114" "Drosophila_ananassae_prot"
"117" "OG0001020" "FBgn0090769" "FBgn0090770" "Drosophila_ananassae_prot"
"118" "OG0001021" "FBgn0138845" "FBgn0141624" "Drosophila_mojavensis_prot"
"119" "OG0001022" "FBgn0141566" "FBgn0141567" "Drosophila_mojavensis_prot"
"120" "OG0001023" "FBgn0090861" "FBgn0100180" "Drosophila_ananassae_prot"
"121" "OG0001024" "FBgn0090877" "FBgn0094853" "Drosophila_ananassae_prot"
"122" "OG0001025" "FBgn0140609" "FBgn0140610" "Drosophila_mojavensis_prot"
"123" "OG0001027" "FBgn0146275" "FBgn0146286" "Drosophila_mojavensis_prot"
"124" "OG0001028" "FBgn0140566" "FBgn0140567" "Drosophila_mojavensis_prot"
"125" "OG0001029" "FBgn0141014" "FBgn0145206" "Drosophila_mojavensis_prot"
"126" "OG0001030" "FBgn0091203" "FBgn0091204" "Drosophila_ananassae_prot"
"127" "OG0001031" "FBgn0091205" "FBgn0099437" "Drosophila_ananassae_prot"
"128" "OG0001032" "FBgn0139532" "FBgn0280466" "Drosophila_mojavensis_prot"
"129" "OG0001033" "FBgn0091262" "FBgn0097788" "Drosophila_ananassae_prot"
"130" "OG0001034" "FBgn0133048" "FBgn0140965" "Drosophila_mojavensis_prot"
"131" "OG0001035" "FBgn0134087" "FBgn0134097" "Drosophila_mojavensis_prot"
"132" "OG0001036" "FBgn0091339" "FBgn0091360" "Drosophila_ananassae_prot"
"133" "OG0001037" "FBgn0134018" "FBgn0138833" "Drosophila_mojavensis_prot"
"134" "OG0001038" "FBgn0091402" "FBgn0097180" "Drosophila_ananassae_prot"
"135" "OG0001039" "FBgn0032393" "FBgn0051864" "Drosophila_melanogaster_prot"
"136" "OG0001040" "FBgn0134880" "FBgn0144023" "Drosophila_mojavensis_prot"
"137" "OG0001041" "FBgn0134021" "FBgn0142951" "Drosophila_mojavensis_prot"
"138" "OG0001042" "FBgn0140866" "FBgn0140867" "Drosophila_mojavensis_prot"
"139" "OG0001043" "FBgn0133343" "FBgn0134334" "Drosophila_mojavensis_prot"
"140" "OG0001044" "FBgn0091563" "FBgn0092395" "Drosophila_ananassae_prot"
"141" "OG0001045" "FBgn0091565" "FBgn0091566" "Drosophila_ananassae_prot"
"142" "OG0001046" "FBgn0140811" "FBgn0140812" "Drosophila_mojavensis_prot"
"143" "OG0001047" "FBgn0091600" "FBgn0098700" "Drosophila_ananassae_prot"
"144" "OG0001048" "FBgn0140027" "FBgn0140981" "Drosophila_mojavensis_prot"
"145" "OG0001049" "FBgn0091651" "FBgn0097384" "Drosophila_ananassae_prot"
"146" "OG0001050" "FBgn0133648" "FBgn0140506" "Drosophila_mojavensis_prot"
"147" "OG0001051" "FBgn0139785" "FBgn0281754" "Drosophila_mojavensis_prot"
"148" "OG0001052" "FBgn0040958" "FBgn0040959" "Drosophila_melanogaster_prot"
"149" "OG0001053" "FBgn0135765" "FBgn0146398" "Drosophila_mojavensis_prot"
"150" "OG0001054" "FBgn0091751" "FBgn0091752" "Drosophila_ananassae_prot"
"151" "OG0001055" "FBgn0031332" "FBgn0031333" "Drosophila_melanogaster_prot"
"152" "OG0001056" "FBgn0091771" "FBgn0273747" "Drosophila_ananassae_prot"
"153" "OG0001057" "FBgn0042125" "FBgn0042127" "Drosophila_melanogaster_prot"
"154" "OG0001058" "FBgn0042175" "FBgn0051683" "Drosophila_melanogaster_prot"
"155" "OG0001060" "FBgn0091944" "FBgn0097428" "Drosophila_ananassae_prot"
"156" "OG0001061" "FBgn0140288" "FBgn0280287" "Drosophila_mojavensis_prot"
"157" "OG0001063" "FBgn0030764" "FBgn0032624" "Drosophila_melanogaster_prot"
"158" "OG0001064" "FBgn0032863" "FBgn0051687" "Drosophila_melanogaster_prot"
"159" "OG0001065" "FBgn0140880" "FBgn0281314" "Drosophila_mojavensis_prot"
"160" "OG0001067" "FBgn0051865" "FBgn0051866" "Drosophila_melanogaster_prot"
"161" "OG0001068" "FBgn0051624" "FBgn0051988" "Drosophila_melanogaster_prot"
"162" "OG0001069" "FBgn0092201" "FBgn0100609" "Drosophila_ananassae_prot"
"163" "OG0001071" "FBgn0092295" "FBgn0092296" "Drosophila_ananassae_prot"
"164" "OG0001072" "FBgn0092305" "FBgn0273771" "Drosophila_ananassae_prot"
"165" "OG0001073" "FBgn0139936" "FBgn0140643" "Drosophila_mojavensis_prot"
"166" "OG0001074" "FBgn0032585" "FBgn0259716" "Drosophila_melanogaster_prot"
"167" "OG0001075" "FBgn0140259" "FBgn0140260" "Drosophila_mojavensis_prot"
"168" "OG0001076" "FBgn0136222" "FBgn0281074" "Drosophila_mojavensis_prot"
"169" "OG0001077" "FBgn0135208" "FBgn0135219" "Drosophila_mojavensis_prot"
"170" "OG0001078" "FBgn0138257" "FBgn0138258" "Drosophila_mojavensis_prot"
"171" "OG0001079" "FBgn0092491" "FBgn0092492" "Drosophila_ananassae_prot"
"172" "OG0001080" "FBgn0145816" "FBgn0280768" "Drosophila_mojavensis_prot"
"173" "OG0001081" "FBgn0092567" "FBgn0092568" "Drosophila_ananassae_prot"
"174" "OG0001082" "FBgn0010422" "FBgn0030663" "Drosophila_melanogaster_prot"
"175" "OG0001083" "FBgn0032934" "FBgn0259737" "Drosophila_melanogaster_prot"
"176" "OG0001084" "FBgn0028526" "FBgn0051769" "Drosophila_melanogaster_prot"
"177" "OG0001085" "FBgn0092765" "FBgn0098735" "Drosophila_ananassae_prot"
"178" "OG0001086" "FBgn0134451" "FBgn0141001" "Drosophila_mojavensis_prot"
"179" "OG0001087" "FBgn0092793" "FBgn0274373" "Drosophila_ananassae_prot"
"180" "OG0001088" "FBgn0134583" "FBgn0140367" "Drosophila_mojavensis_prot"
"181" "OG0001089" "FBgn0092827" "FBgn0092828" "Drosophila_ananassae_prot"
"182" "OG0001090" "FBgn0092856" "FBgn0101642" "Drosophila_ananassae_prot"
"183" "OG0001091" "FBgn0138538" "FBgn0140893" "Drosophila_mojavensis_prot"
"184" "OG0001092" "FBgn0092969" "FBgn0275223" "Drosophila_ananassae_prot"
"185" "OG0001093" "FBgn0090967" "FBgn0092975" "Drosophila_ananassae_prot"
"186" "OG0001094" "FBgn0093043" "FBgn0095223" "Drosophila_ananassae_prot"
"187" "OG0001095" "FBgn0093060" "FBgn0095567" "Drosophila_ananassae_prot"
"188" "OG0001096" "FBgn0133601" "FBgn0133602" "Drosophila_mojavensis_prot"
"189" "OG0001097" "FBgn0093093" "FBgn0100231" "Drosophila_ananassae_prot"
"190" "OG0001098" "FBgn0146147" "FBgn0146901" "Drosophila_mojavensis_prot"
"191" "OG0001099" "FBgn0038760" "FBgn0039170" "Drosophila_melanogaster_prot"
"192" "OG0001101" "FBgn0133551" "FBgn0133911" "Drosophila_mojavensis_prot"
"193" "OG0001102" "FBgn0133578" "FBgn0133579" "Drosophila_mojavensis_prot"
"194" "OG0001103" "FBgn0093187" "FBgn0093188" "Drosophila_ananassae_prot"
"195" "OG0001104" "FBgn0039759" "FBgn0039798" "Drosophila_melanogaster_prot"
"196" "OG0001105" "FBgn0146110" "FBgn0146111" "Drosophila_mojavensis_prot"
"197" "OG0001106" "FBgn0093293" "FBgn0274957" "Drosophila_ananassae_prot"
"198" "OG0001107" "FBgn0147283" "FBgn0147284" "Drosophila_mojavensis_prot"
"199" "OG0001109" "FBgn0132997" "FBgn0138708" "Drosophila_mojavensis_prot"
"200" "OG0001110" "FBgn0093370" "FBgn0100394" "Drosophila_ananassae_prot"
"201" "OG0001111" "FBgn0037405" "FBgn0264899" "Drosophila_melanogaster_prot"
"202" "OG0001112" "FBgn0003375" "FBgn0038523" "Drosophila_melanogaster_prot"
"203" "OG0001113" "FBgn0138423" "FBgn0146699" "Drosophila_mojavensis_prot"
"204" "OG0001114" "FBgn0093445" "FBgn0099368" "Drosophila_ananassae_prot"
"205" "OG0001115" "FBgn0093451" "FBgn0274426" "Drosophila_ananassae_prot"
"206" "OG0001116" "FBgn0093479" "FBgn0097266" "Drosophila_ananassae_prot"
"207" "OG0001117" "FBgn0027338" "FBgn0035657" "Drosophila_melanogaster_prot"
"208" "OG0001118" "FBgn0146260" "FBgn0146262" "Drosophila_mojavensis_prot"
"209" "OG0001120" "FBgn0093669" "FBgn0273517" "Drosophila_ananassae_prot"
"210" "OG0001121" "FBgn0093728" "FBgn0101658" "Drosophila_ananassae_prot"
"211" "OG0001122" "FBgn0143780" "FBgn0146385" "Drosophila_mojavensis_prot"
"212" "OG0001123" "FBgn0146440" "FBgn0146441" "Drosophila_mojavensis_prot"
"213" "OG0001124" "FBgn0133103" "FBgn0133104" "Drosophila_mojavensis_prot"
"214" "OG0001125" "FBgn0052797" "FBgn0286516" "Drosophila_melanogaster_prot"
"215" "OG0001126" "FBgn0145420" "FBgn0145422" "Drosophila_mojavensis_prot"
"216" "OG0001127" "FBgn0093882" "FBgn0093883" "Drosophila_ananassae_prot"
"217" "OG0001128" "FBgn0146077" "FBgn0146078" "Drosophila_mojavensis_prot"
"218" "OG0001129" "FBgn0093943" "FBgn0096311" "Drosophila_ananassae_prot"
"219" "OG0001130" "FBgn0024471" "FBgn0274970" "Drosophila_ananassae_prot"
"220" "OG0001131" "FBgn0039126" "FBgn0264741" "Drosophila_melanogaster_prot"
"221" "OG0001132" "FBgn0038034" "FBgn0038037" "Drosophila_melanogaster_prot"
"222" "OG0001133" "FBgn0043069" "FBgn0051274" "Drosophila_melanogaster_prot"
"223" "OG0001134" "FBgn0134365" "FBgn0146585" "Drosophila_mojavensis_prot"
"224" "OG0001135" "FBgn0028984" "FBgn0038299" "Drosophila_melanogaster_prot"
"225" "OG0001136" "FBgn0094184" "FBgn0094185" "Drosophila_ananassae_prot"
"226" "OG0001137" "FBgn0094189" "FBgn0097670" "Drosophila_ananassae_prot"
"227" "OG0001138" "FBgn0094236" "FBgn0097790" "Drosophila_ananassae_prot"
"228" "OG0001139" "FBgn0137285" "FBgn0146676" "Drosophila_mojavensis_prot"
"229" "OG0001140" "FBgn0137507" "FBgn0144664" "Drosophila_mojavensis_prot"
"230" "OG0001141" "FBgn0010774" "FBgn0032439" "Drosophila_melanogaster_prot"
"231" "OG0001142" "FBgn0142011" "FBgn0142828" "Drosophila_mojavensis_prot"
"232" "OG0001143" "FBgn0094422" "FBgn0097444" "Drosophila_ananassae_prot"
"233" "OG0001144" "FBgn0094439" "FBgn0094440" "Drosophila_ananassae_prot"
"234" "OG0001145" "FBgn0144130" "FBgn0145300" "Drosophila_mojavensis_prot"
"235" "OG0001146" "FBgn0133421" "FBgn0137929" "Drosophila_mojavensis_prot"
"236" "OG0001148" "FBgn0094555" "FBgn0094556" "Drosophila_ananassae_prot"
"237" "OG0001149" "FBgn0147059" "FBgn0281437" "Drosophila_mojavensis_prot"
"238" "OG0001150" "FBgn0038739" "FBgn0259741" "Drosophila_melanogaster_prot"
"239" "OG0001151" "FBgn0137033" "FBgn0147441" "Drosophila_mojavensis_prot"
"240" "OG0001152" "FBgn0136749" "FBgn0147442" "Drosophila_mojavensis_prot"
"241" "OG0001153" "FBgn0136750" "FBgn0145616" "Drosophila_mojavensis_prot"
"242" "OG0001154" "FBgn0147320" "FBgn0281833" "Drosophila_mojavensis_prot"
"243" "OG0001155" "FBgn0145794" "FBgn0281255" "Drosophila_mojavensis_prot"
"244" "OG0001156" "FBgn0135289" "FBgn0145860" "Drosophila_mojavensis_prot"
"245" "OG0001157" "FBgn0094872" "FBgn0094873" "Drosophila_ananassae_prot"
"246" "OG0001158" "FBgn0030479" "FBgn0260944" "Drosophila_melanogaster_prot"
"247" "OG0001159" "FBgn0038461" "FBgn0038462" "Drosophila_melanogaster_prot"
"248" "OG0001160" "FBgn0147430" "FBgn0280235" "Drosophila_mojavensis_prot"
"249" "OG0001161" "FBgn0094948" "FBgn0094949" "Drosophila_ananassae_prot"
"250" "OG0001162" "FBgn0144348" "FBgn0147550" "Drosophila_mojavensis_prot"
"251" "OG0001163" "FBgn0095023" "FBgn0095024" "Drosophila_ananassae_prot"
"252" "OG0001164" "FBgn0145939" "FBgn0145940" "Drosophila_mojavensis_prot"
"253" "OG0001165" "FBgn0038105" "FBgn0041710" "Drosophila_melanogaster_prot"
"254" "OG0001166" "FBgn0026063" "FBgn0026064" "Drosophila_melanogaster_prot"
"255" "OG0001167" "FBgn0143046" "FBgn0144361" "Drosophila_mojavensis_prot"
"256" "OG0001168" "FBgn0144092" "FBgn0145634" "Drosophila_mojavensis_prot"
"257" "OG0001169" "FBgn0145353" "FBgn0145359" "Drosophila_mojavensis_prot"
"258" "OG0001170" "FBgn0133528" "FBgn0133529" "Drosophila_mojavensis_prot"
"259" "OG0001171" "FBgn0133542" "FBgn0141609" "Drosophila_mojavensis_prot"
"260" "OG0001172" "FBgn0095367" "FBgn0100055" "Drosophila_ananassae_prot"
"261" "OG0001175" "FBgn0146258" "FBgn0146259" "Drosophila_mojavensis_prot"
"262" "OG0001176" "FBgn0095425" "FBgn0099880" "Drosophila_ananassae_prot"
"263" "OG0001177" "FBgn0088111" "FBgn0095442" "Drosophila_ananassae_prot"
"264" "OG0001178" "FBgn0132944" "FBgn0145286" "Drosophila_mojavensis_prot"
"265" "OG0001179" "FBgn0145262" "FBgn0146227" "Drosophila_mojavensis_prot"
"266" "OG0001180" "FBgn0095489" "FBgn0095490" "Drosophila_ananassae_prot"
"267" "OG0001181" "FBgn0138775" "FBgn0147422" "Drosophila_mojavensis_prot"
"268" "OG0001182" "FBgn0095536" "FBgn0095537" "Drosophila_ananassae_prot"
"269" "OG0001183" "FBgn0029964" "FBgn0038387" "Drosophila_melanogaster_prot"
"270" "OG0001184" "FBgn0133320" "FBgn0133321" "Drosophila_mojavensis_prot"
"271" "OG0001185" "FBgn0051161" "FBgn0267592" "Drosophila_melanogaster_prot"
"272" "OG0001186" "FBgn0133008" "FBgn0141552" "Drosophila_mojavensis_prot"
"273" "OG0001187" "FBgn0096020" "FBgn0274212" "Drosophila_ananassae_prot"
"274" "OG0001188" "FBgn0091059" "FBgn0096026" "Drosophila_ananassae_prot"
"275" "OG0001189" "FBgn0004066" "FBgn0265606" "Drosophila_melanogaster_prot"
"276" "OG0001190" "FBgn0136821" "FBgn0144485" "Drosophila_mojavensis_prot"
"277" "OG0001191" "FBgn0137835" "FBgn0281799" "Drosophila_mojavensis_prot"
"278" "OG0001192" "FBgn0138279" "FBgn0138280" "Drosophila_mojavensis_prot"
"279" "OG0001193" "FBgn0096223" "FBgn0096224" "Drosophila_ananassae_prot"
"280" "OG0001194" "FBgn0030956" "FBgn0030959" "Drosophila_melanogaster_prot"
"281" "OG0001195" "FBgn0093705" "FBgn0096324" "Drosophila_ananassae_prot"
"282" "OG0001196" "FBgn0096335" "FBgn0097149" "Drosophila_ananassae_prot"
"283" "OG0001197" "FBgn0096337" "FBgn0100416" "Drosophila_ananassae_prot"
"284" "OG0001199" "FBgn0010198" "FBgn0033555" "Drosophila_melanogaster_prot"
"285" "OG0001200" "FBgn0138153" "FBgn0146428" "Drosophila_mojavensis_prot"
"286" "OG0001201" "FBgn0096549" "FBgn0096552" "Drosophila_ananassae_prot"
"287" "OG0001202" "FBgn0096593" "FBgn0102208" "Drosophila_ananassae_prot"
"288" "OG0001203" "FBgn0092510" "FBgn0096679" "Drosophila_ananassae_prot"
"289" "OG0001204" "FBgn0140501" "FBgn0140504" "Drosophila_mojavensis_prot"
"290" "OG0001205" "FBgn0096696" "FBgn0274874" "Drosophila_ananassae_prot"
"291" "OG0001206" "FBgn0051862" "FBgn0262900" "Drosophila_melanogaster_prot"
"292" "OG0001207" "FBgn0096750" "FBgn0097734" "Drosophila_ananassae_prot"
"293" "OG0001208" "FBgn0096777" "FBgn0100615" "Drosophila_ananassae_prot"
"294" "OG0001209" "FBgn0141548" "FBgn0143505" "Drosophila_mojavensis_prot"
"295" "OG0001211" "FBgn0096806" "FBgn0274195" "Drosophila_ananassae_prot"
"296" "OG0001213" "FBgn0051131" "FBgn0051253" "Drosophila_melanogaster_prot"
"297" "OG0001214" "FBgn0031181" "FBgn0039080" "Drosophila_melanogaster_prot"
"298" "OG0001215" "FBgn0096997" "FBgn0101285" "Drosophila_ananassae_prot"
"299" "OG0001218" "FBgn0134715" "FBgn0134716" "Drosophila_mojavensis_prot"
"300" "OG0001219" "FBgn0136978" "FBgn0281332" "Drosophila_mojavensis_prot"
"301" "OG0001221" "FBgn0097166" "FBgn0097198" "Drosophila_ananassae_prot"
"302" "OG0001222" "FBgn0097228" "FBgn0097232" "Drosophila_ananassae_prot"
"303" "OG0001223" "FBgn0133638" "FBgn0138562" "Drosophila_mojavensis_prot"
"304" "OG0001224" "FBgn0097237" "FBgn0097465" "Drosophila_ananassae_prot"
"305" "OG0001225" "FBgn0133804" "FBgn0133805" "Drosophila_mojavensis_prot"
"306" "OG0001226" "FBgn0262575" "FBgn0262610" "Drosophila_melanogaster_prot"
"307" "OG0001227" "FBgn0134432" "FBgn0134436" "Drosophila_mojavensis_prot"
"308" "OG0001228" "FBgn0139127" "FBgn0139128" "Drosophila_mojavensis_prot"
"309" "OG0001229" "FBgn0097393" "FBgn0275053" "Drosophila_ananassae_prot"
"310" "OG0001230" "FBgn0041626" "FBgn0062565" "Drosophila_melanogaster_prot"
"311" "OG0001231" "FBgn0141167" "FBgn0146704" "Drosophila_mojavensis_prot"
"312" "OG0001232" "FBgn0097464" "FBgn0097573" "Drosophila_ananassae_prot"
