"dup_1" "dup_2" "ancestral_copy" "func"
"42" "FBgn0027338" "FBgn0035657" "FBgn0146240" "pseudo_dup_2"
"45" "FBgn0043069" "FBgn0051274" "FBgn0146572" "pseudo_both"
"46" "FBgn0028984" "FBgn0038299" "FBgn0146185" "Conservation"
"47" "FBgn0010774" "FBgn0032439" "FBgn0145803" "pseudo_dup_2"
"48" "FBgn0038739" "FBgn0259741" "FBgn0145158" "Conservation"
"49" "FBgn0030479" "FBgn0260944" "FBgn0146461" "Conservation"
"50" "FBgn0038461" "FBgn0038462" "FBgn0146473" "Conservation"
"54" "FBgn0004066" "FBgn0265606" "FBgn0133971" "pseudo_dup_2"
"55" "FBgn0030956" "FBgn0030959" "FBgn0133687" "Conservation"
"56" "FBgn0010198" "FBgn0033555" "FBgn0139173" "Neofunctionalization(Dup1)"
"57" "FBgn0051862" "FBgn0262900" "FBgn0140235" "pseudo_both"
"58" "FBgn0051131" "FBgn0051253" "FBgn0281502" "pseudo_both"
"59" "FBgn0031181" "FBgn0039080" "FBgn0280583" "pseudo_dup_2"
"60" "FBgn0262575" "FBgn0262610" "FBgn0140291" "pseudo_both"
"61" "FBgn0041626" "FBgn0062565" "FBgn0137558" "pseudo_both"
"62" "FBgn0032897" "FBgn0032899" "FBgn0145925" "Conservation"
"63" "FBgn0030629" "FBgn0030630" "FBgn0138167" "Conservation"
"64" "FBgn0029694" "FBgn0037910" "FBgn0138897" "pseudo_both"
"68" "FBgn0040339" "FBgn0052971" "FBgn0138352" "pseudo_dup_2"
"69" "FBgn0030773" "FBgn0052523" "FBgn0138631" "pseudo_both"
"70" "FBgn0085210" "FBgn0260969" "FBgn0140403" "pseudo_both"
"72" "FBgn0002869" "FBgn0038790" "FBgn0144959" "pseudo_dup_2"
"73" "FBgn0058002" "FBgn0085736" "FBgn0281386" "pseudo_dup_2"
"74" "FBgn0032505" "FBgn0053109" "FBgn0139954" "Conservation"
"76" "FBgn0032631" "FBgn0264486" "FBgn0136397" "pseudo_both"
"78" "FBgn0019644" "FBgn0036345" "FBgn0135788" "pseudo_dup_2"
"81" "FBgn0014340" "FBgn0039585" "FBgn0137472" "pseudo_dup_2"
"85" "FBgn0030120" "FBgn0030121" "FBgn0138090" "Conservation"
"88" "FBgn0029986" "FBgn0029989" "FBgn0144385" "pseudo_dup_2"
"89" "FBgn0033431" "FBgn0034427" "FBgn0141157" "pseudo_dup_2"
"90" "FBgn0085599" "FBgn0260997" "FBgn0146710" "pseudo_both"
"91" "FBgn0031504" "FBgn0039970" "FBgn0140395" "pseudo_dup_1"
"92" "FBgn0030882" "FBgn0052495" "FBgn0138987" "pseudo_dup_2"
"94" "FBgn0030717" "FBgn0032664" "FBgn0139194" "pseudo_dup_2"
"96" "FBgn0021738" "FBgn0264954" "FBgn0138801" "pseudo_both"
"97" "FBgn0085434" "FBgn0285944" "FBgn0144218" "Conservation"
"98" "FBgn0023395" "FBgn0262519" "FBgn0136418" "Conservation"
"99" "FBgn0050026" "FBgn0054054" "FBgn0281395" "Conservation"
"100" "FBgn0035798" "FBgn0052373" "FBgn0135893" "Conservation"
"101" "FBgn0025790" "FBgn0036496" "FBgn0143459" "pseudo_dup_2"
"102" "FBgn0037477" "FBgn0039538" "FBgn0144749" "pseudo_dup_1"
"103" "FBgn0025387" "FBgn0025388" "FBgn0144292" "pseudo_dup_1"
"105" "FBgn0030937" "FBgn0034098" "FBgn0141398" "pseudo_dup_1"
"106" "FBgn0058439" "FBgn0284080" "FBgn0280266" "pseudo_both"
"109" "FBgn0262003" "FBgn0262004" "FBgn0147505" "Conservation"
"110" "FBgn0031939" "FBgn0260479" "FBgn0140741" "pseudo_dup_2"
"114" "FBgn0053265" "FBgn0259748" "FBgn0280221" "pseudo_dup_2"
"115" "FBgn0031145" "FBgn0032680" "FBgn0138487" "Conservation"
"116" "FBgn0029676" "FBgn0260484" "FBgn0137473" "Conservation"
"117" "FBgn0003683" "FBgn0036791" "FBgn0136347" "pseudo_both"
"118" "FBgn0087146" "FBgn0096651" "FBgn0135242" "pseudo_dup_2"
"119" "FBgn0087248" "FBgn0101272" "FBgn0136033" "Neofunctionalization(Dup1)"
"120" "FBgn0087416" "FBgn0097165" "FBgn0136375" "Conservation"
"123" "FBgn0087715" "FBgn0097361" "FBgn0135264" "pseudo_both"
"124" "FBgn0087846" "FBgn0088061" "FBgn0136716" "pseudo_dup_2"
"125" "FBgn0087871" "FBgn0087872" "FBgn0136704" "pseudo_dup_2"
"126" "FBgn0088176" "FBgn0089680" "FBgn0143703" "pseudo_dup_1"
"127" "FBgn0088186" "FBgn0099777" "FBgn0141175" "pseudo_dup_2"
"129" "FBgn0088257" "FBgn0094670" "FBgn0281044" "Conservation"
"131" "FBgn0088415" "FBgn0097524" "FBgn0142997" "pseudo_dup_2"
"132" "FBgn0088444" "FBgn0089732" "FBgn0142225" "pseudo_dup_1"
"134" "FBgn0088536" "FBgn0088547" "FBgn0145658" "Conservation"
"135" "FBgn0088858" "FBgn0095970" "FBgn0143110" "pseudo_dup_1"
"137" "FBgn0088984" "FBgn0275052" "FBgn0143992" "pseudo_dup_2"
"138" "FBgn0089023" "FBgn0094730" "FBgn0146369" "pseudo_both"
"139" "FBgn0089162" "FBgn0094006" "FBgn0147085" "Neofunctionalization(Dup1)"
"140" "FBgn0089234" "FBgn0089235" "FBgn0142433" "pseudo_both"
"141" "FBgn0089352" "FBgn0089353" "FBgn0141287" "pseudo_both"
"143" "FBgn0089536" "FBgn0101058" "FBgn0142405" "pseudo_dup_2"
"144" "FBgn0089429" "FBgn0089592" "FBgn0141303" "pseudo_dup_1"
"146" "FBgn0089956" "FBgn0089957" "FBgn0142049" "pseudo_both"
"147" "FBgn0090121" "FBgn0095972" "FBgn0141943" "pseudo_dup_2"
"150" "FBgn0090305" "FBgn0274484" "FBgn0141473" "pseudo_dup_1"
"151" "FBgn0090422" "FBgn0274162" "FBgn0280442" "pseudo_dup_2"
"152" "FBgn0090503" "FBgn0097523" "FBgn0142001" "pseudo_dup_1"
"153" "FBgn0090523" "FBgn0097648" "FBgn0142898" "pseudo_dup_2"
"154" "FBgn0090602" "FBgn0100843" "FBgn0143148" "pseudo_dup_2"
"155" "FBgn0090670" "FBgn0093850" "FBgn0146668" "pseudo_both"
"156" "FBgn0090700" "FBgn0094325" "FBgn0141837" "pseudo_dup_2"
"157" "FBgn0090727" "FBgn0274441" "FBgn0141072" "pseudo_both"
"158" "FBgn0090751" "FBgn0100114" "FBgn0143942" "Conservation"
"159" "FBgn0090769" "FBgn0090770" "FBgn0142889" "Conservation"
"160" "FBgn0090861" "FBgn0100180" "FBgn0142339" "pseudo_both"
"161" "FBgn0090877" "FBgn0094853" "FBgn0146655" "pseudo_both"
"162" "FBgn0091203" "FBgn0091204" "FBgn0139477" "pseudo_dup_2"
"163" "FBgn0091205" "FBgn0099437" "FBgn0139489" "pseudo_both"
"164" "FBgn0091262" "FBgn0097788" "FBgn0140962" "pseudo_dup_2"
"165" "FBgn0091339" "FBgn0091360" "FBgn0134013" "pseudo_both"
"166" "FBgn0091402" "FBgn0097180" "FBgn0139982" "pseudo_dup_2"
"167" "FBgn0091563" "FBgn0092395" "FBgn0136948" "pseudo_dup_1"
"168" "FBgn0091600" "FBgn0098700" "FBgn0140655" "Neofunctionalization(Dup1)"
"170" "FBgn0091944" "FBgn0097428" "FBgn0068806" "pseudo_dup_1"
"171" "FBgn0092201" "FBgn0100609" "FBgn0136338" "Conservation"
"172" "FBgn0092295" "FBgn0092296" "FBgn0137004" "Conservation"
"173" "FBgn0092305" "FBgn0273771" "FBgn0139932" "Neofunctionalization(Dup2)"
"174" "FBgn0092491" "FBgn0092492" "FBgn0140923" "pseudo_dup_1"
"175" "FBgn0092567" "FBgn0092568" "FBgn0140158" "pseudo_both"
"176" "FBgn0092793" "FBgn0274373" "FBgn0133362" "pseudo_dup_2"
"177" "FBgn0092827" "FBgn0092828" "FBgn0146064" "pseudo_dup_2"
"178" "FBgn0092856" "FBgn0101642" "FBgn0134834" "pseudo_dup_1"
"179" "FBgn0092969" "FBgn0275223" "FBgn0140216" "pseudo_dup_2"
"180" "FBgn0090967" "FBgn0092975" "FBgn0138210" "pseudo_dup_1"
"181" "FBgn0093043" "FBgn0095223" "FBgn0147445" "pseudo_dup_1"
"182" "FBgn0093060" "FBgn0095567" "FBgn0145678" "pseudo_dup_1"
"183" "FBgn0093093" "FBgn0100231" "FBgn0133494" "pseudo_dup_1"
"184" "FBgn0093187" "FBgn0093188" "FBgn0133580" "pseudo_dup_1"
"186" "FBgn0093451" "FBgn0274426" "FBgn0133293" "pseudo_both"
"187" "FBgn0093479" "FBgn0097266" "FBgn0145779" "pseudo_dup_2"
"188" "FBgn0093669" "FBgn0273517" "FBgn0133031" "pseudo_both"
"189" "FBgn0093728" "FBgn0101658" "FBgn0144982" "pseudo_dup_2"
"190" "FBgn0093882" "FBgn0093883" "FBgn0146854" "Conservation"
"191" "FBgn0093943" "FBgn0096311" "FBgn0146079" "pseudo_both"
"192" "FBgn0024471" "FBgn0274970" "FBgn0064059" "Conservation"
"194" "FBgn0094189" "FBgn0097670" "FBgn0144453" "Neofunctionalization(Dup2)"
"195" "FBgn0094236" "FBgn0097790" "FBgn0146737" "pseudo_dup_2"
"196" "FBgn0094422" "FBgn0097444" "FBgn0146948" "pseudo_dup_2"
"197" "FBgn0094439" "FBgn0094440" "FBgn0145297" "pseudo_dup_1"
"199" "FBgn0094872" "FBgn0094873" "FBgn0145863" "pseudo_both"
"201" "FBgn0095023" "FBgn0095024" "FBgn0144925" "pseudo_dup_2"
"202" "FBgn0095367" "FBgn0100055" "FBgn0147607" "Conservation"
"203" "FBgn0095425" "FBgn0099880" "FBgn0145077" "Conservation"
"204" "FBgn0088111" "FBgn0095442" "FBgn0144923" "pseudo_dup_1"
"208" "FBgn0091059" "FBgn0096026" "FBgn0140536" "Conservation"
"210" "FBgn0096335" "FBgn0097149" "FBgn0136960" "pseudo_both"
"211" "FBgn0096549" "FBgn0096552" "FBgn0144439" "pseudo_dup_2"
"213" "FBgn0092510" "FBgn0096679" "FBgn0281697" "pseudo_both"
"214" "FBgn0096696" "FBgn0274874" "FBgn0139619" "pseudo_dup_2"
"215" "FBgn0096750" "FBgn0097734" "FBgn0132892" "Conservation"
"216" "FBgn0096777" "FBgn0100615" "FBgn0136344" "pseudo_dup_1"
"217" "FBgn0096997" "FBgn0101285" "FBgn0139316" "pseudo_both"
"219" "FBgn0097228" "FBgn0097232" "FBgn0138557" "pseudo_dup_2"
"220" "FBgn0097237" "FBgn0097465" "FBgn0137568" "pseudo_both"
"221" "FBgn0097464" "FBgn0097573" "FBgn0137567" "pseudo_both"
"222" "FBgn0095037" "FBgn0097650" "FBgn0145942" "pseudo_both"
"223" "FBgn0098197" "FBgn0099157" "FBgn0137712" "pseudo_both"
"224" "FBgn0098354" "FBgn0099800" "FBgn0142832" "pseudo_dup_1"
"225" "FBgn0098626" "FBgn0099479" "FBgn0137841" "pseudo_both"
"226" "FBgn0087432" "FBgn0098720" "FBgn0136385" "pseudo_dup_2"
"229" "FBgn0098826" "FBgn0099694" "FBgn0137055" "pseudo_dup_2"
"230" "FBgn0099133" "FBgn0099134" "FBgn0138373" "pseudo_dup_2"
"231" "FBgn0099409" "FBgn0099410" "FBgn0138339" "Neofunctionalization(Dup1)"
"233" "FBgn0093789" "FBgn0099689" "FBgn0145143" "Conservation"
"234" "FBgn0099745" "FBgn0100766" "FBgn0135838" "Neofunctionalization(Dup1)"
"235" "FBgn0099788" "FBgn0099793" "FBgn0142757" "pseudo_dup_2"
"236" "FBgn0099900" "FBgn0099902" "FBgn0147581" "pseudo_both"
"237" "FBgn0100333" "FBgn0275379" "FBgn0145489" "pseudo_dup_2"
"238" "FBgn0100484" "FBgn0100485" "FBgn0134281" "Neofunctionalization(Dup1)"
"239" "FBgn0100777" "FBgn0100778" "FBgn0135212" "pseudo_both"
"241" "FBgn0100952" "FBgn0274017" "FBgn0136079" "pseudo_dup_2"
"242" "FBgn0101037" "FBgn0274625" "FBgn0134431" "Conservation"
"243" "FBgn0101064" "FBgn0101065" "FBgn0135056" "pseudo_dup_2"
"244" "FBgn0101301" "FBgn0101312" "FBgn0140592" "pseudo_both"
"245" "FBgn0101393" "FBgn0102092" "FBgn0135590" "Conservation"
"246" "FBgn0099170" "FBgn0101502" "FBgn0136558" "pseudo_dup_1"
"248" "FBgn0088403" "FBgn0101878" "FBgn0139480" "pseudo_dup_2"
"250" "FBgn0097256" "FBgn0250758" "FBgn0138007" "pseudo_dup_1"
"251" "FBgn0091416" "FBgn0273656" "FBgn0140724" "pseudo_both"
"252" "FBgn0090889" "FBgn0096005" "FBgn0140640" "Conservation"
"256" "FBgn0091499" "FBgn0275173" "FBgn0140485" "pseudo_dup_2"
"257" "FBgn0274380" "FBgn0274658" "FBgn0281113" "pseudo_both"
"259" "FBgn0089485" "FBgn0089486" "FBgn0142501" "Conservation"
"260" "FBgn0090772" "FBgn0099031" "FBgn0142891" "pseudo_dup_2"
"261" "FBgn0095120" "FBgn0095121" "FBgn0146970" "Conservation"
"262" "FBgn0097154" "FBgn0273974" "FBgn0136851" "pseudo_dup_2"
"264" "FBgn0094178" "FBgn0094180" "FBgn0146391" "Conservation"
"265" "FBgn0088922" "FBgn0273995" "FBgn0280773" "pseudo_dup_2"
"267" "FBgn0090937" "FBgn0274989" "FBgn0136865" "pseudo_dup_2"
"268" "FBgn0100304" "FBgn0275228" "FBgn0133394" "pseudo_both"
"270" "FBgn0092939" "FBgn0097621" "FBgn0136806" "pseudo_dup_1"
"271" "FBgn0091564" "FBgn0274694" "FBgn0140651" "pseudo_both"
"272" "FBgn0092954" "FBgn0100012" "FBgn0147351" "pseudo_dup_1"
"273" "FBgn0099723" "FBgn0099725" "FBgn0134507" "pseudo_dup_2"
"274" "FBgn0094073" "FBgn0094963" "FBgn0145082" "Conservation"
"276" "FBgn0101501" "FBgn0102290" "FBgn0136556" "pseudo_dup_2"
"277" "FBgn0273614" "FBgn0273689" "FBgn0281829" "pseudo_both"
"278" "FBgn0097378" "FBgn0274092" "FBgn0281326" "pseudo_dup_2"
"281" "FBgn0135403" "FBgn0135424" "FBgn0087349" "pseudo_dup_2"
"285" "FBgn0135953" "FBgn0137340" "FBgn0087594" "pseudo_dup_2"
"286" "FBgn0139330" "FBgn0144102" "FBgn0087605" "pseudo_both"
"287" "FBgn0134584" "FBgn0134585" "FBgn0087838" "pseudo_both"
"288" "FBgn0138767" "FBgn0139598" "FBgn0087895" "pseudo_dup_1"
"289" "FBgn0139527" "FBgn0141038" "FBgn0087912" "pseudo_dup_2"
"290" "FBgn0135447" "FBgn0281215" "FBgn0087955" "pseudo_both"
"291" "FBgn0134680" "FBgn0144756" "FBgn0088067" "pseudo_both"
"292" "FBgn0142672" "FBgn0142684" "FBgn0088072" "pseudo_dup_1"
"293" "FBgn0141111" "FBgn0280911" "FBgn0088087" "Conservation"
"294" "FBgn0143892" "FBgn0280542" "FBgn0088462" "pseudo_dup_2"
"299" "FBgn0137337" "FBgn0141858" "FBgn0088720" "pseudo_dup_1"
"300" "FBgn0147386" "FBgn0281816" "FBgn0088787" "pseudo_dup_2"
"301" "FBgn0136289" "FBgn0141570" "FBgn0088810" "pseudo_dup_1"
"302" "FBgn0142268" "FBgn0142269" "FBgn0088814" "Conservation"
"304" "FBgn0142793" "FBgn0280257" "FBgn0089289" "Conservation"
"305" "FBgn0143668" "FBgn0143669" "FBgn0089300" "pseudo_both"
"307" "FBgn0142604" "FBgn0142606" "FBgn0089445" "pseudo_both"
"308" "FBgn0138432" "FBgn0142612" "FBgn0089488" "pseudo_dup_1"
"309" "FBgn0137624" "FBgn0141394" "FBgn0089689" "Conservation"
"310" "FBgn0141811" "FBgn0280994" "FBgn0089847" "Conservation"
"311" "FBgn0134045" "FBgn0141820" "FBgn0089855" "Neofunctionalization(Dup2)"
"312" "FBgn0138136" "FBgn0141580" "FBgn0089902" "Neofunctionalization(Dup2)"
"313" "FBgn0141982" "FBgn0143434" "FBgn0089927" "pseudo_dup_1"
"314" "FBgn0143190" "FBgn0144091" "FBgn0089933" "pseudo_dup_1"
"315" "FBgn0142046" "FBgn0281300" "FBgn0089952" "pseudo_dup_2"
"316" "FBgn0137295" "FBgn0142754" "FBgn0090595" "pseudo_dup_1"
"317" "FBgn0137296" "FBgn0142755" "FBgn0090596" "pseudo_both"
"320" "FBgn0138845" "FBgn0141624" "FBgn0090804" "Neofunctionalization(Dup2)"
"322" "FBgn0140609" "FBgn0140610" "FBgn0090907" "pseudo_both"
"323" "FBgn0146275" "FBgn0146286" "FBgn0091084" "pseudo_dup_2"
"324" "FBgn0140566" "FBgn0140567" "FBgn0091106" "pseudo_both"
"325" "FBgn0141014" "FBgn0145206" "FBgn0091130" "pseudo_dup_2"
"326" "FBgn0139532" "FBgn0280466" "FBgn0091209" "pseudo_dup_2"
"327" "FBgn0133048" "FBgn0140965" "FBgn0091265" "pseudo_dup_1"
"329" "FBgn0134018" "FBgn0138833" "FBgn0091340" "pseudo_both"
"330" "FBgn0134880" "FBgn0144023" "FBgn0091449" "Neofunctionalization(Dup2)"
"331" "FBgn0134021" "FBgn0142951" "FBgn0091460" "pseudo_both"
"332" "FBgn0133343" "FBgn0134334" "FBgn0091546" "Conservation"
"334" "FBgn0140027" "FBgn0140981" "FBgn0091620" "Conservation"
"335" "FBgn0139785" "FBgn0281754" "FBgn0091699" "pseudo_dup_2"
"336" "FBgn0135765" "FBgn0146398" "FBgn0091713" "Conservation"
"337" "FBgn0140288" "FBgn0280287" "FBgn0091977" "Conservation"
"338" "FBgn0140880" "FBgn0281314" "FBgn0092147" "pseudo_dup_2"
"340" "FBgn0140259" "FBgn0140260" "FBgn0092423" "pseudo_dup_2"
"341" "FBgn0136222" "FBgn0281074" "FBgn0092429" "pseudo_dup_2"
"343" "FBgn0138257" "FBgn0138258" "FBgn0092486" "pseudo_dup_1"
"345" "FBgn0134451" "FBgn0141001" "FBgn0092787" "Conservation"
"346" "FBgn0134583" "FBgn0140367" "FBgn0092801" "Conservation"
"347" "FBgn0138538" "FBgn0140893" "FBgn0092863" "Conservation"
"348" "FBgn0133601" "FBgn0133602" "FBgn0093063" "pseudo_dup_1"
"349" "FBgn0146147" "FBgn0146901" "FBgn0093137" "Specialization"
"350" "FBgn0133551" "FBgn0133911" "FBgn0093174" "pseudo_dup_2"
"352" "FBgn0146110" "FBgn0146111" "FBgn0093224" "Conservation"
"353" "FBgn0147283" "FBgn0147284" "FBgn0093311" "pseudo_both"
"354" "FBgn0132997" "FBgn0138708" "FBgn0093352" "pseudo_dup_2"
"355" "FBgn0138423" "FBgn0146699" "FBgn0093443" "pseudo_dup_1"
"356" "FBgn0146260" "FBgn0146262" "FBgn0093642" "pseudo_both"
"357" "FBgn0143780" "FBgn0146385" "FBgn0093759" "pseudo_dup_1"
"360" "FBgn0146077" "FBgn0146078" "FBgn0093942" "Neofunctionalization(Dup1)"
"361" "FBgn0134365" "FBgn0146585" "FBgn0094107" "pseudo_dup_1"
"362" "FBgn0137285" "FBgn0146676" "FBgn0094269" "pseudo_dup_1"
"363" "FBgn0137507" "FBgn0144664" "FBgn0094297" "pseudo_dup_1"
"364" "FBgn0142011" "FBgn0142828" "FBgn0094373" "pseudo_dup_1"
"365" "FBgn0144130" "FBgn0145300" "FBgn0094446" "Conservation"
"366" "FBgn0133421" "FBgn0137929" "FBgn0094490" "Conservation"
"367" "FBgn0147059" "FBgn0281437" "FBgn0094616" "pseudo_both"
"368" "FBgn0137033" "FBgn0147441" "FBgn0094813" "pseudo_both"
"369" "FBgn0136749" "FBgn0147442" "FBgn0094814" "pseudo_both"
"370" "FBgn0136750" "FBgn0145616" "FBgn0094815" "pseudo_both"
"371" "FBgn0147320" "FBgn0281833" "FBgn0094837" "Conservation"
"372" "FBgn0145794" "FBgn0281255" "FBgn0094856" "pseudo_both"
"373" "FBgn0135289" "FBgn0145860" "FBgn0094869" "pseudo_dup_1"
"374" "FBgn0147430" "FBgn0280235" "FBgn0094942" "pseudo_dup_2"
"375" "FBgn0144348" "FBgn0147550" "FBgn0094975" "pseudo_dup_1"
"377" "FBgn0143046" "FBgn0144361" "FBgn0095197" "pseudo_dup_2"
"378" "FBgn0144092" "FBgn0145634" "FBgn0095240" "pseudo_both"
"381" "FBgn0146258" "FBgn0146259" "FBgn0095413" "pseudo_both"
"383" "FBgn0145262" "FBgn0146227" "FBgn0095471" "Conservation"
"384" "FBgn0138775" "FBgn0147422" "FBgn0095526" "pseudo_dup_1"
"385" "FBgn0133320" "FBgn0133321" "FBgn0095695" "Conservation"
"386" "FBgn0133008" "FBgn0141552" "FBgn0095927" "pseudo_dup_2"
"387" "FBgn0136821" "FBgn0144485" "FBgn0096052" "Conservation"
"389" "FBgn0138279" "FBgn0138280" "FBgn0096110" "Conservation"
"390" "FBgn0138153" "FBgn0146428" "FBgn0096546" "pseudo_dup_2"
"393" "FBgn0136978" "FBgn0281332" "FBgn0097139" "Conservation"
"394" "FBgn0133638" "FBgn0138562" "FBgn0097234" "Conservation"
"396" "FBgn0134432" "FBgn0134436" "FBgn0097354" "pseudo_both"
"398" "FBgn0141167" "FBgn0146704" "FBgn0097567" "pseudo_dup_1"
"400" "FBgn0136600" "FBgn0139824" "FBgn0097625" "pseudo_dup_2"
"401" "FBgn0144448" "FBgn0144449" "FBgn0097702" "pseudo_both"
"402" "FBgn0132845" "FBgn0281669" "FBgn0097756" "pseudo_both"
"403" "FBgn0138390" "FBgn0146569" "FBgn0098011" "pseudo_both"
"404" "FBgn0139088" "FBgn0146922" "FBgn0098124" "Conservation"
"405" "FBgn0138865" "FBgn0138866" "FBgn0098207" "Conservation"
"406" "FBgn0138416" "FBgn0144422" "FBgn0098225" "Conservation"
"408" "FBgn0138908" "FBgn0139135" "FBgn0098382" "pseudo_both"
"409" "FBgn0138898" "FBgn0143365" "FBgn0098492" "pseudo_dup_2"
"410" "FBgn0133908" "FBgn0281130" "FBgn0098591" "pseudo_both"
"411" "FBgn0132848" "FBgn0140414" "FBgn0098698" "pseudo_both"
"412" "FBgn0138459" "FBgn0140819" "FBgn0098767" "pseudo_dup_2"
"413" "FBgn0137722" "FBgn0140342" "FBgn0098911" "pseudo_dup_2"
"416" "FBgn0136768" "FBgn0136886" "FBgn0099348" "pseudo_dup_2"
"417" "FBgn0139689" "FBgn0281311" "FBgn0099556" "Conservation"
"418" "FBgn0134778" "FBgn0137610" "FBgn0099579" "Conservation"
"420" "FBgn0136483" "FBgn0140823" "FBgn0099831" "pseudo_dup_1"
"421" "FBgn0145850" "FBgn0146130" "FBgn0099970" "Conservation"
"422" "FBgn0133442" "FBgn0144957" "FBgn0100019" "Neofunctionalization(Dup2)"
"423" "FBgn0144460" "FBgn0144657" "FBgn0100026" "pseudo_dup_1"
"424" "FBgn0141904" "FBgn0145340" "FBgn0100061" "pseudo_dup_1"
"426" "FBgn0133313" "FBgn0147608" "FBgn0100207" "Conservation"
"427" "FBgn0146004" "FBgn0147028" "FBgn0100268" "pseudo_dup_2"
"429" "FBgn0134092" "FBgn0146621" "FBgn0100606" "pseudo_dup_2"
"431" "FBgn0137329" "FBgn0139566" "FBgn0100869" "pseudo_dup_1"
"432" "FBgn0137330" "FBgn0139567" "FBgn0100870" "pseudo_both"
"433" "FBgn0137331" "FBgn0139568" "FBgn0100871" "pseudo_both"
"434" "FBgn0137332" "FBgn0139569" "FBgn0100873" "pseudo_both"
"437" "FBgn0134512" "FBgn0134514" "FBgn0101022" "pseudo_dup_2"
"438" "FBgn0135409" "FBgn0139273" "FBgn0101174" "pseudo_dup_2"
"439" "FBgn0135411" "FBgn0139275" "FBgn0101176" "pseudo_both"
"440" "FBgn0134054" "FBgn0136652" "FBgn0101260" "pseudo_both"
"441" "FBgn0135881" "FBgn0135882" "FBgn0101291" "Conservation"
"442" "FBgn0139795" "FBgn0140608" "FBgn0101334" "pseudo_dup_2"
"443" "FBgn0134047" "FBgn0139622" "FBgn0101382" "pseudo_dup_1"
"444" "FBgn0135320" "FBgn0141055" "FBgn0101701" "pseudo_both"
"445" "FBgn0135334" "FBgn0136907" "FBgn0101714" "Conservation"
"446" "FBgn0134211" "FBgn0134213" "FBgn0101778" "pseudo_both"
"447" "FBgn0134031" "FBgn0139442" "FBgn0101835" "Conservation"
"449" "FBgn0134913" "FBgn0134914" "FBgn0101921" "pseudo_both"
"450" "FBgn0134434" "FBgn0135690" "FBgn0101948" "pseudo_both"
"451" "FBgn0136613" "FBgn0136614" "FBgn0102007" "pseudo_both"
"452" "FBgn0135555" "FBgn0146871" "FBgn0102039" "pseudo_dup_2"
"453" "FBgn0140016" "FBgn0146870" "FBgn0102044" "Conservation"
"454" "FBgn0134032" "FBgn0135512" "FBgn0102089" "Conservation"
"455" "FBgn0084951" "FBgn0147553" "FBgn0095766" "pseudo_dup_1"
"456" "FBgn0137266" "FBgn0145976" "FBgn0094407" "pseudo_both"
