gene_id	transcript_id
ENSG00000006210.7	ENST00000563383.1
ENSG00000006282.22	ENST00000006658.11
ENSG00000006283.18	ENST00000359106.10
ENSG00000006327.14	ENST00000575124.1
ENSG00000006377.11	ENST00000518156.3
ENSG00000006432.16	ENST00000555993.6
ENSG00000006451.8	ENST00000005257.7
ENSG00000006453.14	ENST00000005260.9
ENSG00000006459.11	ENST00000397560.7
ENSG00000006468.15	ENST00000405358.8
ENSG00000006530.18	ENST00000649286.2
ENSG00000006534.17	ENST00000614849.4
ENSG00000006555.11	ENST00000371276.9
ENSG00000006576.17	ENST00000416283.6
ENSG00000006606.9	ENST00000394905.2
ENSG00000006607.14	ENST00000264042.8
ENSG00000006611.17	ENST00000005226.12
ENSG00000006625.18	ENST00000275428.9
ENSG00000006634.8	ENST00000265728.6
ENSG00000006638.13	ENST00000411851.3
ENSG00000006652.15	ENST00000675578.1
ENSG00000006659.13	ENST00000360675.7
ENSG00000006695.12	ENST00000664217.1
ENSG00000006704.11	ENST00000455841.6
ENSG00000006712.15	ENST00000221265.8
ENSG00000006715.16	ENST00000310301.9
ENSG00000006740.18	ENST00000379672.10
ENSG00000006744.19	ENST00000338034.9
ENSG00000006747.15	ENST00000297029.10
ENSG00000006756.16	ENST00000381154.6
ENSG00000006757.12	ENST00000381042.9
ENSG00000006788.14	ENST00000252172.9
ENSG00000006831.10	ENST00000357103.5
ENSG00000006837.12	ENST00000265334.9
ENSG00000007001.14	ENST00000605860.5
ENSG00000007038.11	ENST00000005995.8
ENSG00000007047.16	ENST00000262891.9
ENSG00000007062.12	ENST00000447510.7
ENSG00000007080.11	ENST00000445755.7
ENSG00000007129.18	ENST00000401445.4
ENSG00000007168.15	ENST00000674608.1
ENSG00000007171.19	ENST00000313735.11
ENSG00000007174.18	ENST00000262442.9
ENSG00000007202.16	ENST00000528896.7
ENSG00000007216.16	ENST00000444914.7
ENSG00000007237.19	ENST00000432992.7
ENSG00000007255.10	ENST00000006275.8
ENSG00000007264.15	ENST00000395045.6
ENSG00000007306.15	ENST00000401731.6
ENSG00000007312.14	ENST00000392795.7
ENSG00000007314.12	ENST00000435607.3
ENSG00000007341.19	ENST00000358039.9
ENSG00000007350.18	ENST00000369915.8
ENSG00000007372.25	ENST00000638963.1
ENSG00000007376.8	ENST00000561734.5
ENSG00000007384.15	ENST00000262316.10
ENSG00000007392.17	ENST00000293872.13
ENSG00000007402.12	ENST00000423994.6
ENSG00000007516.15	ENST00000324385.9
ENSG00000007520.4	ENST00000007390.3
ENSG00000007541.17	ENST00000026218.9
ENSG00000007545.16	ENST00000397412.8
ENSG00000007866.22	ENST00000338863.13
ENSG00000007908.16	ENST00000333360.12
ENSG00000007923.17	ENST00000377577.10
ENSG00000007933.13	ENST00000367755.9
ENSG00000007944.16	ENST00000356840.8
ENSG00000007952.18	ENST00000372966.8
ENSG00000007968.7	ENST00000361729.3
ENSG00000008018.9	ENST00000262193.7
ENSG00000008056.14	ENST00000295987.13
ENSG00000008083.14	ENST00000341776.7
ENSG00000008086.13	ENST00000379996.7
ENSG00000008118.10	ENST00000009105.5
ENSG00000008128.23	ENST00000378633.5
ENSG00000008130.15	ENST00000378625.5
ENSG00000008196.13	ENST00000393655.4
ENSG00000008197.5	ENST00000008391.4
ENSG00000008226.20	ENST00000346219.7
ENSG00000008256.17	ENST00000350796.8
ENSG00000008277.15	ENST00000413139.2
ENSG00000008282.10	ENST00000706299.1
ENSG00000008283.16	ENST00000542042.5
ENSG00000008294.22	ENST00000262013.12
ENSG00000008300.17	ENST00000164024.5
ENSG00000008311.16	ENST00000679864.1
ENSG00000008323.16	ENST00000011684.11
ENSG00000008324.12	ENST00000447630.5
ENSG00000008382.16	ENST00000596722.5
ENSG00000008394.13	ENST00000396210.8
ENSG00000008405.12	ENST00000008527.10
ENSG00000008438.5	ENST00000008938.5
ENSG00000008441.19	ENST00000676441.1
ENSG00000008513.17	ENST00000522652.6
ENSG00000008516.19	ENST00000336577.9
ENSG00000008517.19	ENST00000534507.5
ENSG00000008710.20	ENST00000262304.9
ENSG00000008735.14	ENST00000329492.6
ENSG00000008838.21	ENST00000394126.5
ENSG00000008853.18	ENST00000519685.5
ENSG00000008869.12	ENST00000233099.6
ENSG00000008952.17	ENST00000337002.9
ENSG00000008988.11	ENST00000519807.5
ENSG00000009307.17	ENST00000688211.1
ENSG00000009335.19	ENST00000348165.10
ENSG00000009413.17	ENST00000368802.8
ENSG00000009694.14	ENST00000422452.4
ENSG00000009709.13	ENST00000713640.1
ENSG00000009724.18	ENST00000400897.8
ENSG00000009765.15	ENST00000229447.9
ENSG00000009780.16	ENST00000010299.10
ENSG00000009790.15	ENST00000367025.8
ENSG00000009830.13	ENST00000682795.1
ENSG00000009844.16	ENST00000367630.9
ENSG00000009950.16	ENST00000313375.8
ENSG00000009954.11	ENST00000339594.9
ENSG00000010017.13	ENST00000011619.6
ENSG00000010030.14	ENST00000340181.9
ENSG00000010072.16	ENST00000295050.12
ENSG00000010165.20	ENST00000361735.4
ENSG00000010219.14	ENST00000543431.6
ENSG00000010244.19	ENST00000342555.10
ENSG00000010256.12	ENST00000203407.6
ENSG00000010270.14	ENST00000009041.12
ENSG00000010278.15	ENST00000536586.7
ENSG00000010282.15	ENST00000310417.9
ENSG00000010292.13	ENST00000315579.10
ENSG00000010295.20	ENST00000619571.5
ENSG00000010310.9	ENST00000590918.6
ENSG00000010318.22	ENST00000327906.8
ENSG00000010319.7	ENST00000231721.7
ENSG00000010322.16	ENST00000479054.5
ENSG00000010327.10	ENST00000321725.10
ENSG00000010361.14	ENST00000313777.9
ENSG00000010379.16	ENST00000343164.9
ENSG00000010404.18	ENST00000340855.11
ENSG00000010438.17	ENST00000342836.9
ENSG00000010539.12	ENST00000414144.7
ENSG00000010610.10	ENST00000011653.9
ENSG00000010626.15	ENST00000007969.12
ENSG00000010671.18	ENST00000621635.4
ENSG00000010704.20	ENST00000357618.10
ENSG00000010803.17	ENST00000695335.1
ENSG00000010810.18	ENST00000354650.7
ENSG00000010818.11	ENST00000012134.7
ENSG00000010932.17	ENST00000617670.6
ENSG00000011007.13	ENST00000613537.5
ENSG00000011009.12	ENST00000374514.8
ENSG00000011021.23	ENST00000376496.4
ENSG00000011028.14	ENST00000303375.10
ENSG00000011052.21	ENST00000555572.1
ENSG00000011083.9	ENST00000524041.1
ENSG00000011105.14	ENST00000407263.2
ENSG00000011114.15	ENST00000334746.10
ENSG00000011132.12	ENST00000316757.4
ENSG00000011143.19	ENST00000678463.1
ENSG00000011198.10	ENST00000644371.2
ENSG00000011201.12	ENST00000262648.8
ENSG00000011243.19	ENST00000397410.10
ENSG00000011258.16	ENST00000586178.6
ENSG00000011260.14	ENST00000225298.12
ENSG00000011275.19	ENST00000389902.8
ENSG00000011295.16	ENST00000261647.10
ENSG00000011304.22	ENST00000635647.1
ENSG00000011332.22	ENST00000686058.1
ENSG00000011347.10	ENST00000539008.6
ENSG00000011376.12	ENST00000650792.2
ENSG00000011405.14	ENST00000265970.11
ENSG00000011422.12	ENST00000340093.8
ENSG00000011426.11	ENST00000265748.7
ENSG00000011451.21	ENST00000673675.1
ENSG00000011454.18	ENST00000373647.9
ENSG00000011465.18	ENST00000052754.10
ENSG00000011478.13	ENST00000012049.10
ENSG00000011485.15	ENST00000012443.9
ENSG00000011523.15	ENST00000377990.7
ENSG00000011566.15	ENST00000263881.8
ENSG00000011590.14	ENST00000392197.7
ENSG00000011600.12	ENST00000585901.6
ENSG00000011638.11	ENST00000451578.6
ENSG00000011677.13	ENST00000370314.9
ENSG00000012048.26	ENST00000644379.2
ENSG00000012061.17	ENST00000013807.9
ENSG00000012124.17	ENST00000085219.10
ENSG00000012171.20	ENST00000611067.4
ENSG00000012174.12	ENST00000379484.10
ENSG00000012211.13	ENST00000599218.6
ENSG00000012223.13	ENST00000231751.9
ENSG00000012232.10	ENST00000696177.1
ENSG00000012504.15	ENST00000551379.5
ENSG00000012660.14	ENST00000370918.8
ENSG00000012779.12	ENST00000374391.7
ENSG00000012817.16	ENST00000541639.5
ENSG00000012822.16	ENST00000550804.6
ENSG00000012963.15	ENST00000013070.11
ENSG00000012983.12	ENST00000682126.1
ENSG00000013016.16	ENST00000322054.10
ENSG00000013275.8	ENST00000157812.7
ENSG00000013288.9	ENST00000285599.8
ENSG00000013293.6	ENST00000231706.6
ENSG00000013297.12	ENST00000064724.8
ENSG00000013306.16	ENST00000377095.10
ENSG00000013364.19	ENST00000395353.5
ENSG00000013374.17	ENST00000470229.6
ENSG00000013375.17	ENST00000508748.6
ENSG00000013392.8	ENST00000369724.5
ENSG00000013441.17	ENST00000434813.3
ENSG00000013503.10	ENST00000228347.9
ENSG00000013523.12	ENST00000557497.2
ENSG00000013561.18	ENST00000356143.5
ENSG00000013563.14	ENST00000369807.6
ENSG00000013573.17	ENST00000545668.5
ENSG00000013583.10	ENST00000647702.1
ENSG00000013588.10	ENST00000713574.1
ENSG00000013619.15	ENST00000682016.1
ENSG00000013725.14	ENST00000313421.11
ENSG00000013810.21	ENST00000651472.1
ENSG00000014123.10	ENST00000369278.5
ENSG00000014138.10	ENST00000265465.8
ENSG00000014164.7	ENST00000262577.6
ENSG00000014216.16	ENST00000533820.5
ENSG00000014257.17	ENST00000351273.12
ENSG00000014641.21	ENST00000539945.7
ENSG00000014824.14	ENST00000264451.12
ENSG00000014914.21	ENST00000439741.4
ENSG00000014919.13	ENST00000016171.6
ENSG00000015133.20	ENST00000389857.11
ENSG00000015153.15	ENST00000327791.8
ENSG00000015171.21	ENST00000397955.7
ENSG00000015285.12	ENST00000698635.1
ENSG00000015413.10	ENST00000421184.5
ENSG00000015475.19	ENST00000317361.11
ENSG00000015479.20	ENST00000394805.8
ENSG00000015520.15	ENST00000289547.8
ENSG00000015532.10	ENST00000017003.7
ENSG00000015568.13	ENST00000016946.8
ENSG00000015592.17	ENST00000522908.1
ENSG00000015676.18	ENST00000355451.8
ENSG00000016082.15	ENST00000230658.12
ENSG00000016391.11	ENST00000315251.11
ENSG00000016402.14	ENST00000316649.10
ENSG00000016490.16	ENST00000234701.7
ENSG00000016602.9	ENST00000370563.3
ENSG00000016864.19	ENST00000266014.11
ENSG00000017260.20	ENST00000507488.6
ENSG00000017427.17	ENST00000307046.8
ENSG00000017483.16	ENST00000595796.5
ENSG00000017797.13	ENST00000019317.8
ENSG00000018189.13	ENST00000381006.8
ENSG00000018236.15	ENST00000551295.7
ENSG00000018280.18	ENST00000233202.11
ENSG00000018408.15	ENST00000465804.5
ENSG00000018510.18	ENST00000642466.2
ENSG00000018610.15	ENST00000644802.2
ENSG00000018625.15	ENST00000361216.8
ENSG00000018699.13	ENST00000317907.9
ENSG00000018869.18	ENST00000586929.6
ENSG00000019102.12	ENST00000326621.10
ENSG00000019144.20	ENST00000361417.6
ENSG00000019169.11	ENST00000327097.5
ENSG00000019186.10	ENST00000216862.8
ENSG00000019485.14	ENST00000683152.1
ENSG00000019505.8	ENST00000020926.8
ENSG00000019549.13	ENST00000020945.4
ENSG00000019582.17	ENST00000009530.13
ENSG00000019991.18	ENST00000222390.11
ENSG00000019995.6	ENST00000359653.4
ENSG00000020129.16	ENST00000356090.8
ENSG00000020181.18	ENST00000412232.3
ENSG00000020256.20	ENST00000216923.5
ENSG00000020426.11	ENST00000261245.9
ENSG00000020577.14	ENST00000554335.6
ENSG00000020633.19	ENST00000338888.4
ENSG00000020922.13	ENST00000407439.7
ENSG00000021300.14	ENST00000354190.10
ENSG00000021355.13	ENST00000380739.6
ENSG00000021461.18	ENST00000222382.5
ENSG00000021488.13	ENST00000590341.5
ENSG00000021574.15	ENST00000713716.1
ENSG00000021645.20	ENST00000335750.7
ENSG00000021762.20	ENST00000263650.12
ENSG00000021776.11	ENST00000156471.10
ENSG00000021826.18	ENST00000430249.7
ENSG00000021852.14	ENST00000371237.9
ENSG00000022267.19	ENST00000394155.8
ENSG00000022277.13	ENST00000023939.8
ENSG00000022355.18	ENST00000638159.1
ENSG00000022556.16	ENST00000543010.5
ENSG00000022567.10	ENST00000517878.6
ENSG00000022840.17	ENST00000413266.6
ENSG00000022976.16	ENST00000442396.7
ENSG00000023041.12	ENST00000682055.1
ENSG00000023171.20	ENST00000635736.2
ENSG00000023191.17	ENST00000534797.5
ENSG00000023228.15	ENST00000233190.11
ENSG00000023287.13	ENST00000025008.10
ENSG00000023318.9	ENST00000262455.7
ENSG00000023330.15	ENST00000469224.5
ENSG00000023445.17	ENST00000673846.1
ENSG00000023516.9	ENST00000025301.4
ENSG00000023572.10	ENST00000367440.3
ENSG00000023608.5	ENST00000216294.5
ENSG00000023697.13	ENST00000428559.7
ENSG00000023734.11	ENST00000025399.10
ENSG00000023839.12	ENST00000647814.1
ENSG00000023892.12	ENST00000316637.7
ENSG00000023902.14	ENST00000369124.5
ENSG00000023909.10	ENST00000370238.8
ENSG00000024048.11	ENST00000372899.6
ENSG00000024422.12	ENST00000263277.8
ENSG00000024526.17	ENST00000456315.7
ENSG00000024862.18	ENST00000617445.5
ENSG00000025039.15	ENST00000369415.9
ENSG00000025156.13	ENST00000368455.9
ENSG00000025293.17	ENST00000374012.8
ENSG00000025423.11	ENST00000555159.5
ENSG00000025434.19	ENST00000481889.6
ENSG00000025708.14	ENST00000395681.6
ENSG00000025770.19	ENST00000299821.15
ENSG00000025772.8	ENST00000372813.4
ENSG00000025796.14	ENST00000369002.9
ENSG00000025800.14	ENST00000373625.8
ENSG00000026025.16	ENST00000544301.7
ENSG00000026036.23	ENST00000492259.6
ENSG00000026103.25	ENST00000696776.1
ENSG00000026297.17	ENST00000508775.6
ENSG00000026508.21	ENST00000428726.8
ENSG00000026559.14	ENST00000371571.5
ENSG00000026652.15	ENST00000320285.9
ENSG00000026751.17	ENST00000368043.8
ENSG00000026950.17	ENST00000289361.11
ENSG00000027001.10	ENST00000382172.4
ENSG00000027075.18	ENST00000332981.11
ENSG00000027644.5	ENST00000368195.4
ENSG00000027697.16	ENST00000367739.9
ENSG00000027847.14	ENST00000029410.10
ENSG00000027869.13	ENST00000392306.2
ENSG00000028116.18	ENST00000435505.6
ENSG00000028137.19	ENST00000376259.7
ENSG00000028203.19	ENST00000436874.6
ENSG00000028277.22	ENST00000692977.1
ENSG00000028310.18	ENST00000467963.6
ENSG00000028528.15	ENST00000261889.9
ENSG00000028839.10	ENST00000613034.4
ENSG00000029153.15	ENST00000266503.10
ENSG00000029363.17	ENST00000531224.6
ENSG00000029364.12	ENST00000336643.10
ENSG00000029534.22	ENST00000705521.1
ENSG00000029559.7	ENST00000226284.7
ENSG00000029639.11	ENST00000367166.5
ENSG00000029725.17	ENST00000537505.6
ENSG00000029993.15	ENST00000325307.12
ENSG00000030066.14	ENST00000694866.1
ENSG00000030110.14	ENST00000374467.4
ENSG00000030304.15	ENST00000374448.9
ENSG00000030419.17	ENST00000342002.6
ENSG00000030582.19	ENST00000053867.8
ENSG00000031003.11	ENST00000689681.1
ENSG00000031081.11	ENST00000264245.9
ENSG00000031691.7	ENST00000335783.4
ENSG00000031698.13	ENST00000369923.4
ENSG00000031823.14	ENST00000340578.10
ENSG00000032219.19	ENST00000355431.8
ENSG00000032389.13	ENST00000398659.8
ENSG00000032444.17	ENST00000414982.7
ENSG00000032742.18	ENST00000319980.10
ENSG00000033011.14	ENST00000262374.10
ENSG00000033030.16	ENST00000633063.3
ENSG00000033050.9	ENST00000287844.7
ENSG00000033100.17	ENST00000035307.7
ENSG00000033122.21	ENST00000651989.2
ENSG00000033170.17	ENST00000360689.9
ENSG00000033178.13	ENST00000322244.10
ENSG00000033327.13	ENST00000361507.5
ENSG00000033627.18	ENST00000703888.1
ENSG00000033800.14	ENST00000545237.1
ENSG00000033867.18	ENST00000454389.6
ENSG00000034053.15	ENST00000561069.5
ENSG00000034152.20	ENST00000342679.9
ENSG00000034239.11	ENST00000262103.8
ENSG00000034510.6	ENST00000233143.6
ENSG00000034533.12	ENST00000514044.5
ENSG00000034677.13	ENST00000519449.5
ENSG00000034693.15	ENST00000367591.5
ENSG00000034713.8	ENST00000037243.7
ENSG00000034971.17	ENST00000037502.11
ENSG00000035115.22	ENST00000356150.10
ENSG00000035141.10	ENST00000430566.6
ENSG00000035403.18	ENST00000211998.10
ENSG00000035499.13	ENST00000265036.10
ENSG00000035664.11	ENST00000612884.4
ENSG00000035681.10	ENST00000427130.7
ENSG00000035687.10	ENST00000366535.4
ENSG00000035720.8	ENST00000265404.7
ENSG00000035862.13	ENST00000262768.11
ENSG00000035928.17	ENST00000381897.5
ENSG00000036054.13	ENST00000394144.9
ENSG00000036257.14	ENST00000264414.9
ENSG00000036448.10	ENST00000262113.9
ENSG00000036473.9	ENST00000713758.1
ENSG00000036530.9	ENST00000261835.8
ENSG00000036549.13	ENST00000370801.8
ENSG00000036565.15	ENST00000276373.10
ENSG00000036672.16	ENST00000260187.7
ENSG00000036828.17	ENST00000498619.4
ENSG00000037042.9	ENST00000251412.8
ENSG00000037241.7	ENST00000519974.5
ENSG00000037280.16	ENST00000261937.11
ENSG00000037474.15	ENST00000264670.11
ENSG00000037637.11	ENST00000375592.8
ENSG00000037749.13	ENST00000522782.6
ENSG00000037757.14	ENST00000040663.8
ENSG00000037897.17	ENST00000324871.12
ENSG00000037965.6	ENST00000040584.6
ENSG00000038002.9	ENST00000264595.7
ENSG00000038210.14	ENST00000264864.8
ENSG00000038219.13	ENST00000507943.2
ENSG00000038274.18	ENST00000694947.1
ENSG00000038295.8	ENST00000507499.5
ENSG00000038358.15	ENST00000358933.10
ENSG00000038382.23	ENST00000344204.9
ENSG00000038427.16	ENST00000265077.8
ENSG00000038532.17	ENST00000409790.6
ENSG00000038945.15	ENST00000445506.6
ENSG00000039068.20	ENST00000261769.10
ENSG00000039123.16	ENST00000230640.10
ENSG00000039139.11	ENST00000265104.5
ENSG00000039319.17	ENST00000338008.9
ENSG00000039523.20	ENST00000422602.8
ENSG00000039537.16	ENST00000337836.10
ENSG00000039560.14	ENST00000515799.5
ENSG00000039600.11	ENST00000265007.11
ENSG00000039650.12	ENST00000322344.8
ENSG00000039987.7	ENST00000549706.5
ENSG00000040199.18	ENST00000567016.1
ENSG00000040275.17	ENST00000265295.9
ENSG00000040341.18	ENST00000524300.6
ENSG00000040487.13	ENST00000375153.8
ENSG00000040531.16	ENST00000381870.8
ENSG00000040608.14	ENST00000425986.1
ENSG00000040633.13	ENST00000320316.8
ENSG00000040731.10	ENST00000264463.8
ENSG00000040933.17	ENST00000715853.1
ENSG00000041353.10	ENST00000262094.10
ENSG00000041357.16	ENST00000044462.12
ENSG00000041515.16	ENST00000457511.7
ENSG00000041802.11	ENST00000265245.10
ENSG00000041880.15	ENST00000431474.6
ENSG00000041982.17	ENST00000350763.9
ENSG00000041988.16	ENST00000054650.9
ENSG00000042062.13	ENST00000327979.8
ENSG00000042088.14	ENST00000393454.6
ENSG00000042286.15	ENST00000373248.5
ENSG00000042317.17	ENST00000393545.9
ENSG00000042429.12	ENST00000639724.1
ENSG00000042445.14	ENST00000295802.9
ENSG00000042493.16	ENST00000263867.9
ENSG00000042753.12	ENST00000601498.5
ENSG00000042781.14	ENST00000674083.1
ENSG00000042813.8	ENST00000046087.7
ENSG00000042832.12	ENST00000220616.9
ENSG00000042980.14	ENST00000699027.1
ENSG00000043039.7	ENST00000281437.6
ENSG00000043093.15	ENST00000292782.9
ENSG00000043143.22	ENST00000282605.8
ENSG00000043355.12	ENST00000376335.8
ENSG00000043462.13	ENST00000046794.10
ENSG00000043514.17	ENST00000316891.10
ENSG00000043591.6	ENST00000369295.4
ENSG00000044012.4	ENST00000372581.2
ENSG00000044090.13	ENST00000674134.1
ENSG00000044115.21	ENST00000302763.12
ENSG00000044446.12	ENST00000379942.5
ENSG00000044459.15	ENST00000380647.8
ENSG00000044524.11	ENST00000336596.7
ENSG00000044574.9	ENST00000324460.7
ENSG00000046604.15	ENST00000261590.13
ENSG00000046647.15	ENST00000680255.1
ENSG00000046651.16	ENST00000340096.11
ENSG00000046653.15	ENST00000316715.9
ENSG00000046774.10	ENST00000247452.4
ENSG00000046889.19	ENST00000288368.5
ENSG00000047056.18	ENST00000650072.1
ENSG00000047188.16	ENST00000161863.9
ENSG00000047230.15	ENST00000359276.9
ENSG00000047249.18	ENST00000359530.7
ENSG00000047315.17	ENST00000381227.5
ENSG00000047346.13	ENST00000546305.6
ENSG00000047365.13	ENST00000303965.9
ENSG00000047410.14	ENST00000367478.9
ENSG00000047457.14	ENST00000264613.11
ENSG00000047578.14	ENST00000261588.10
ENSG00000047579.20	ENST00000344537.10
ENSG00000047597.7	ENST00000378616.5
ENSG00000047617.18	ENST00000650848.1
ENSG00000047621.12	ENST00000261250.8
ENSG00000047634.15	ENST00000380041.8
ENSG00000047644.20	ENST00000380861.10
ENSG00000047648.23	ENST00000337414.9
ENSG00000047662.5	ENST00000265018.4
ENSG00000047849.22	ENST00000426837.6
ENSG00000047932.14	ENST00000368498.7
ENSG00000047936.11	ENST00000368508.7
ENSG00000048028.12	ENST00000696973.1
ENSG00000048052.25	ENST00000441542.7
ENSG00000048140.18	ENST00000310032.12
ENSG00000048162.22	ENST00000618911.4
ENSG00000048342.18	ENST00000389652.11
ENSG00000048392.13	ENST00000522368.5
ENSG00000048405.11	ENST00000393313.5
ENSG00000048462.11	ENST00000053243.6
ENSG00000048471.14	ENST00000566228.6
ENSG00000048540.16	ENST00000540445.5
ENSG00000048544.7	ENST00000718325.1
ENSG00000048545.18	ENST00000372958.2
ENSG00000048649.14	ENST00000308488.11
ENSG00000048707.15	ENST00000620676.6
ENSG00000048740.19	ENST00000632065.1
ENSG00000048828.18	ENST00000277165.11
ENSG00000048991.18	ENST00000683871.1
ENSG00000049089.15	ENST00000372748.8
ENSG00000049130.16	ENST00000644744.1
ENSG00000049167.16	ENST00000265038.10
ENSG00000049192.15	ENST00000381055.8
ENSG00000049239.13	ENST00000602477.1
ENSG00000049245.13	ENST00000054666.11
ENSG00000049246.15	ENST00000377532.8
ENSG00000049247.14	ENST00000377516.6
ENSG00000049249.10	ENST00000377507.8
ENSG00000049283.19	ENST00000268933.8
ENSG00000049323.16	ENST00000404816.7
ENSG00000049449.10	ENST00000054950.4
ENSG00000049540.19	ENST00000692049.1
ENSG00000049541.11	ENST00000055077.8
ENSG00000049618.25	ENST00000637015.2
ENSG00000049656.14	ENST00000320895.10
ENSG00000049759.20	ENST00000635997.1
ENSG00000049768.18	ENST00000557224.6
